html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,relationships.type.parent,relationships.type.child,relationships.type.related,relationships.type.successor,relationships.type.predecessor
,,Fundação Nacional de Saúde*pt,active,government;funder,"National Health Foundation, Brazil*en",Fundação Nacional de Saúde*pt,Funasa,https://www.gov.br/funasa/pt-br,,,1991,501100016062,501100016062,,,,,,,Brasília,Brazil,3469058,https://ror.org/02y7p0749,,,,
,,Institute of Research and Development in Structures and Construction*en,active,facility;funder,Institute of R&D in Structures and Construction of FEUP*en;CONSTRUCT Faculdade de Engenharia da Universidade do Porto*en;Institute of R&D In Structures and Construction*en,Institute of Research and Development in Structures and Construction*en;Instituto de I&D em Estruturas e Construções*pt,CONSTRUCT,https://fe.up.pt/construct/,,,2015,501100018986,501100018986,,,,,,,Porto,Portugal,,,,https://ror.org/043pwc612,,
,,Making Headway Foundation*en,active,nonprofit;funder,Making Headway Foundation Inc.*en,Making Headway Foundation*en,,https://makingheadway.org,,makingheadway.org,1996,100018864,100018864,,,,,,,Chappaqua,United States,5112259,,,,,
,,Hebei Provincial Department of Human Resources and Social Security*en,active,government;funder,Hebei Provincial Human Resources and Social Security Department*en,Hebei Provincial Department of Human Resources and Social Security*en;河北省人力资源和社会保障厅*zh,,https://rst.hebei.gov.cn,,rst.hebei.gov.cn,2009,100016083,100016083,,,,,,,Shijiazhuang,China,1795270,,,,,
,,Sabah Biodiversity Centre*en,active,government;funder,Sabah Biodiversity Center*en,Sabah Biodiversity Centre*en;Pusat Biodiversiti Sabah*ms,SaBC,https://sabc.sabah.gov.my,,sabc.sabah.gov.my,2008,501100013344,501100013344,,,,,,,Kota Kinabalu,Malaysia,1733432,,,,,
,,St Vincent's Clinic Research Foundation*en,active,nonprofit;funder,St. Vincent's Clinic Foundation*en;St Vincent's Clinic Foundation*en,St Vincent's Clinic Research Foundation*en,,https://svcrf.com.au,,svcrf.com.au,1992,100012187,100012187,,,,,,,Darlinghurst,Australia,2169378,,,https://ror.org/02rthxz10,,
,,Swiss Paraplegic Foundation*en,active,nonprofit;funder,,Swiss Paraplegic Foundation*en;Schweizer Paraplegiker-Stiftung*de;Fondation suisse pour paraplégiques*fr;Fondazione svizzera per paraplegici*it,SPF,https://www.paraplegie.ch/sps/en/,,,1975,100032605,100032605,,,,,,,Nottwil,Switzerland,2659436,,https://ror.org/04jk2jb97;https://ror.org/01spwt212,,,
,,Yulin Science and Technology Bureau*en,active,government;funder,Yulin Municipal Science and Technology Bureau*en,Yulin Science and Technology Bureau*en;榆林市科学技术局*zh,,https://kjj.yl.gov.cn,,kjj.yl.gov.cn,,100018921,100018921,,,,,,,Yulin,China,1785769,,,,,
,,National Pharmaceutical Council*en,active,nonprofit;funder,,National Pharmaceutical Council*en,NPC,https://www.npcnow.org,,npcnow.org,1953,100014483,100014483,,,,,,,Washington,United States,4140963,,,,,
,,Office of National Drug Control Policy*en,active,government;funder,United States Office of National Drug Control Policy*en;U.S. Office of National Drug Control Policy*en;Oficina de la Política Nacional de Control de Drogas*es,Office of National Drug Control Policy*en,ONDCP,https://www.whitehouse.gov/ondcp/,,,1989,100013161,100013161,,,,,,,Washington,United States,4140963,https://ror.org/00bws1855,,,,
,,Shandong Provincial Social Science Planning and Management Office*en,active,government;funder,Shandong Office of Philosophy and Social Science*en;Shandong Planning Office of Philosophy and Social Science*en;Social Science Planning Office of Shandong Province*en;Shandong Social Science Planning Office*en;Social Science Planning and Management Office of Shandong Province*en;山东省社科基金*zh,Shandong Provincial Social Science Planning and Management Office*en;山东省社会科学规划管理办公室*zh,,https://sdsk.sdxc.gov.cn,,sdsk.sdxc.gov.cn,1987,501100014990,501100014990,,,,,,,Jinan,China,1805753,,,,,
,,Bay Area Lyme Foundation*en,active,nonprofit;funder,The Bay Area Lyme Foundation*en,Bay Area Lyme Foundation*en,BALF,https://www.bayarealyme.org,,bayarealyme.org,2012,100013479,100013479,,,,,,,Portola Valley,United States,5384478,,,,,
,,Thailand Institute of Nuclear Technology*en,active,facility;funder,Thailand Institute of Nuclear Technology (Public Organization)*en,Thailand Institute of Nuclear Technology*en;สถาบันเทคโนโลยีนิวเคลียร์แห่งชาติ (องค์การมหาชน)*th,TINT,https://www.tint.or.th,https://en.wikipedia.org/wiki/Thailand_Institute_of_Nuclear_Technology,tint.or.th,2006,501100020356,501100020356,,,,,,,Nakhon Nayok,Thailand,1608539,https://ror.org/03cqd2v24,,,,
,,Shenzhen-Hong Kong Institute of Brain Science*en,active,facility;funder,深港脑院*zh,Shenzhen-Hong Kong Institute of Brain Science*en;深港脑科学创新研究院*zh,SHIBS,https://www.shibs.cn,,shibs.cn,2019,501100019404,501100019404,,,,,,,Shenzhen,China,1795565,https://ror.org/04gh4er46,,,,
,,Foshan Science and Technology Bureau*en,active,government;funder,,Foshan Science and Technology Bureau*en;佛山市科学技术局*zh,FSTB,https://fskjj.foshan.gov.cn,,fskjj.foshan.gov.cn,,501100011478,501100011478,,,,,,,Foshan,China,1811103,https://ror.org/03pgxht93,,,,
,,Johnson & Johnson Foundation*en,active,nonprofit;funder,Johnson and Johnson Foundation*en;J&J Foundation*en,Johnson & Johnson Foundation*en,JJF,https://www.jnj.com/j-j-foundation,,,1953,100020137,100020137,,,,,,,New Brunswick,United States,5101717,https://ror.org/03qd7mz70,,,,
,,VA National Center for Patient Safety*en,active,government;funder,National Center for Patient Safety*en;The Department of Veterans Affairs National Center for Patient Safety*en,VA National Center for Patient Safety*en,NCPS,https://www.patientsafety.va.gov,,patientsafety.va.gov,1999,100017101,100017101,,,,,,,Ann Arbor,United States,4284276,https://ror.org/05rsv9s98,,,,
,,Siebel Scholars Foundation*en,active,nonprofit;funder,Siebel Scholars*en;Siebel Foundation*en,Siebel Scholars Foundation*en,,https://www.siebelscholars.com,,siebelscholars.com,2005,100015597,100015597,,,,,,,Redwood City,United States,5386834,,,,,
,,Jiangsu Key Laboratory for Bioresources of Saline Soils*en,active,facility;funder,,Jiangsu Key Laboratory for Bioresources of Saline Soils*en;江苏省盐土生物资源研究重点实验室*zh,JKLBS,https://ytsw.yctu.edu.cn,,ytsw.yctu.edu.cn,2011,501100012570,501100012570,,,,,,,Yancheng,China,1787746,https://ror.org/042k5fe81,,,,
,,National Strength and Conditioning Association*en,active,nonprofit;funder,The National Strength and Conditioning Association*en,National Strength and Conditioning Association*en,NSCA,https://www.nsca.com,,nsca.com,1978,100016538,100016538,,,,,,,Colorado Springs,United States,5417598,,,,,
,,State Insurance Regulatory Authority*en,active,government;funder,NSW State Insurance Regulatory Authority*en,State Insurance Regulatory Authority*en,SIRA,https://www.sira.nsw.gov.au,,sira.nsw.gov.au,2015,501100012049,501100012049,,,,,,,Sydney,Australia,2147714,https://ror.org/0067dvq63,,,,
,,Consejo Tamaulipeco de Ciencia y Tecnología*es,active,government;funder,Tamaulipas Council of Science and Technology*en;Science and Technology Council of Tamaulipas*en,Consejo Tamaulipeco de Ciencia y Tecnología*es,COTACYT,https://cotacyt.gob.mx,,cotacyt.gob.mx,1989,501100010189,501100010189,,,,,,,Ciudad Victoria,Mexico,3530580,,,,,
,,ECMC Foundation*en,active,nonprofit;funder,Educational Credit Management Corporation Foundation*en,ECMC Foundation*en,ECMC,https://www.ecmcfoundation.org,,ecmcfoundation.org,2000,100027432,100027432,,,,,,,Los Angeles,United States,5368361,,,,,
,,Chicago Herpetological Society*en,active,nonprofit;funder,Chicago Herp. Soc.*en;Chicago Herp Society*en,Chicago Herpetological Society*en,CHS,https://chicagoherp.org,,chicagoherp.org,1968,100013511,100013511,,,,,,,Chicago,United States,4887398,,,,,
,,Henry L. Hillman Foundation*en,active,nonprofit;funder,Henry L Hillman Foundation*en,Henry L. Hillman Foundation*en,HLHF,https://henrylhillmanfoundation.org,,henrylhillmanfoundation.org,1964,100028416,100028416,,,,,,,Pittsburgh,United States,5206379,,,,,
,,Finanziaria Laziale di Sviluppo (Italy),inactive,company;funder,Lazio Region Financial Development Agency*en,Finanziaria Laziale di Sviluppo (Italy);Finanziaria Laziale di Sviluppo*it,FILAS,https://filas.it,,filas.it,1974,501100003124,501100003124,,,,,,,Rome,Italy,3169070,,,,https://ror.org/046q5we44,
,,Western Regional Aquaculture Center*en,active,funder;other,,Western Regional Aquaculture Center*en,WRAC,https://wracuw.org,,wracuw.org,1987,100018067,100018067,,,,,,,Seattle,United States,,,https://ror.org/00cvxb145,,,
,,American Alpine Club*en,active,nonprofit;funder,The American Alpine Club*en,American Alpine Club*en,AAC,https://americanalpineclub.org,https://en.wikipedia.org/wiki/American_Alpine_Club,americanalpineclub.org,1902,100013599,100013599,,,,,,,Golden,United States,4427840,,,,,
,,Shanghai Key Laboratory for Urban Ecological Processes and Eco-Restoration*en,active,facility;funder,"华东师范大学上海市城市化生态过程与生态恢复重点实验室*zh;Shanghai Key Lab for Urban Ecological Processes and Eco-Restoration*en;Shanghai Key Lab for Urban Ecological Processes and Eco-Restoration, East China Normal University*en",Shanghai Key Laboratory for Urban Ecological Processes and Eco-Restoration*en;上海市城市化生态过程与生态恢复重点实验室*zh,SHUES,http://www.shues.ecnu.edu.cn,,shues.ecnu.edu.cn,2005,501100020748,501100020748,,,,,,,Shanghai,China,,https://ror.org/02n96ep67,,,,
,,Bangladesh Bureau of Educational Information and Statistics*en,active,government;funder,ব্যানবেইস*bn,Bangladesh Bureau of Educational Information and Statistics*en;বাংলাদেশ শিক্ষাতথ্য ও পরিসংখ্যান ব্যুরো*bn,BANBEIS,https://banbeis.gov.bd,https://en.wikipedia.org/wiki/Bangladesh_Bureau_of_Educational_Information_and_Statistics,banbeis.gov.bd,1977,100031325,100031325,,,,,,,Dhaka,Bangladesh,1185241,https://ror.org/04a3gjw65,,,,
,,"Joint Program Executive Office for Chemical, Biological, Radiological and Nuclear Defense*en",active,government;funder,"Capability Program Executive for Chemical, Biological, Radiological and Nuclear Defense*en;Joint Program Executive Office for CBRN Defense*en;Joint Program Executive Office for Chemical and Biological Defense*en;Office for Chemical and Biological Defense*en;JPEO for Chemical, Biological, Radiological and Nuclear Defense*en","Joint Program Executive Office for Chemical, Biological, Radiological and Nuclear Defense*en",JPEO-CBRND;CPE CBRND,https://www.jpeocbrnd.osd.mil,,jpeocbrnd.osd.mil,2003,100017443,100017443,,,,,,,Aberdeen Proving Ground,United States,7257914,https://ror.org/0447fe631,,,,
,,Alabama Department of Transportation*en,active,government;funder,"State of Alabama Department of Transportation*en;Alabama DOT*en;Alabama Dept of Transportation*en;Alabama Highway Department*en;Department of Transportation, Alabama*en;AL Dept of Transportation*en;DOT State of Alabama*en;AL Department of Transportation*en",Alabama Department of Transportation*en,ALDOT,https://www.dot.state.al.us,https://en.wikipedia.org/wiki/Alabama_Department_of_Transportation,dot.state.al.us,1939,100014768,100014768,,,,,,,Montgomery,United States,4076784,,,,,
,,Fundação Renova*pt,inactive,nonprofit;funder,,Fundação Renova*pt;Renova Foundation*en,,https://www.fundacaorenova.org,,fundacaorenova.org,2016,100020226,100020226,,,,,,,Belo Horizonte,Brazil,3470127,,,,,
,,Tsuchiya Foundation*en,active,nonprofit;funder,Tsuchiya Memorial Medical Foundation*en,Tsuchiya Foundation*en;一般財団法人土谷記念医学振興基金*ja,,https://www.tsuchiya-foundation.or.jp,,tsuchiya-foundation.or.jp,1985,501100012029,501100012029,,,,,,,Hiroshima,Japan,1862415,,,,,
,,China Science and Technology Exchange Center*en,active,government;funder,中國科學技術交流中心*zh;China Science & Technology Exchange Center*en;Cross-Straits Science and Technology Exchange Center*en;Sino-Japanese Technology Cooperation Center*en,China Science and Technology Exchange Center*en;中国科学技术交流中心*zh,CSTEC,https://www.cstec.org.cn,,cstec.org.cn,1982,501100018771,501100018771,,,,,,,Beijing,China,1816670,https://ror.org/027s68j25,,,,
,,Society for the Scientific Study of Religion*en,active,nonprofit;funder,The Society for the Scientific Study of Religion*en,Society for the Scientific Study of Religion*en,SSSR,https://sssreligion.org,https://en.wikipedia.org/wiki/Society_for_the_Scientific_Study_of_Religion,sssreligion.org,1949,100018660,100018660,,,,,,,Germantown,United States,,,,,,
,,J. Gustaf Richert Foundation*en,active,nonprofit;funder,J. Gust. Richert Foundation*en;J. Gust. Richert Stiftelse*sv;Richertska stiftelsen*sv;Stiftelsen för teknisk vetenskaplig forskning till minne av J. Gust. Richert*sv,J. Gustaf Richert Foundation*en;J. Gustaf Richert Stiftelse*sv,,https://www.sweco.se/om-sweco-sverige/stipendier-och-forskningsanslag/richterska-stiftelsen/,,,1987,100016410,100016410,,,,,,,Stockholm,Sweden,2673730,,,,,
,,Fondation du Risque*fr,active,nonprofit;funder,Risk Foundation*en,Fondation du Risque*fr,FDR,https://www.institutlouisbachelier.org/en/we-are/about-the-fondation-du-risque,,,2007,501100021493,501100021493,,,,,,,Paris,France,2988507,,,,,
,,Guiyang Bureau of Science and Technology*en,active,government;funder,"Science and Technology Bureau, Guiyang Municipal Government*en;Guiyang Municipal Science and Technology Bureau*en",Guiyang Bureau of Science and Technology*en;贵阳市科学技术局*zh,,http://kjj.guiyang.gov.cn,,kjj.guiyang.gov.cn,,501100009619,501100009619,,,,,,,Guiyang,China,1809461,,,,,
,,Sasakawa Sports Foundation*en,active,nonprofit;funder,,Sasakawa Sports Foundation*en;笹川スポーツ財団*ja,SSF,https://www.ssf.or.jp,,ssf.or.jp,1991,100018048,100018048,,,,,,,Tokyo,Japan,,https://ror.org/05wszs827,,,,
,,Dr. Babasaheb Ambedkar Research and Training Institute*en,active,facility;funder,,Dr. Babasaheb Ambedkar Research and Training Institute*en;डॉ. बाबासाहेब आंबेडकर संशोधन व प्रशिक्षण संस्था*mr,BARTI,https://www.barti.in,,barti.in,2008,501100014564,501100014564,,,,,,,Pune,India,1259229,https://ror.org/057ykey20,,,,
,,State Key Laboratory of Marine Resource Utilization in South China Sea*en,active,facility;funder,,State Key Laboratory of Marine Resource Utilization in South China Sea*en;南海海洋资源利用国家重点实验室*zh,MRU,https://hb.hainanu.edu.cn/nanhaihaiyang/,,,2016,501100010995,501100010995,,,,,,,Haikou,China,1809078,https://ror.org/03q648j11,,,,
,,Montreal Cancer Institute*en,active,nonprofit;funder,,Montreal Cancer Institute*en;Institut du cancer de Montréal*fr,ICM,https://www.icm.qc.ca,,icm.qc.ca,1947,501100022425,501100022425,,,,,,,Montreal,Canada,6077243,,,,,
,,Ariadne Labs*en,active,facility;funder,Ariadne*en,Ariadne Labs*en,,https://www.ariadnelabs.org,,ariadnelabs.org,2012,100022787,100022787,,,,,,,Boston,United States,,https://ror.org/04b6nzv94;https://ror.org/03vek6s52,,,,
,,Schmutzler Stiftung*de,active,nonprofit;funder,Schmutzler Foundation*en,Schmutzler Stiftung*de,,https://www.deutsche-stiftungstrust.de/schmutzler-stiftung,,,2007,501100021371,501100021371,,,,,,,,Germany,,,,,,
,,Higher Education Research Council*en,active,government;funder,,Higher Education Research Council*en,HERC,https://boardofed.idaho.gov/board-facts/board-committees/higher-education-research-council-herc/,,,1998,100011459,100011459,,,,,,,Boise,United States,5586437,https://ror.org/05n116e91,,,,
,,Shanghai Key Laboratory of Digital Media Processing and Transmission*en,active,facility;funder,Shanghai Key Laboratory of Digital Media Processing and Communication*en,Shanghai Key Laboratory of Digital Media Processing and Transmission*en;上海市数字媒体处理与传输重点实验室*zh,,https://www.seiee.sjtu.edu.cn/kyjd_sbj/560.html,,,2005,501100012656,501100012656,,,,,,,Shanghai,China,1796236,https://ror.org/0220qvk04,,,,
,,Velliv Foreningen F.M.B.A.*da,active,nonprofit;funder,Velliv Association*en;Velliv Foreningen*da;Foreningen Norliv*da;Association Norliv*en,Velliv Foreningen F.M.B.A.*da;The Velliv Association*en,,https://www.vellivforeningen.dk,https://da.wikipedia.org/wiki/Velliv_Foreningen,vellivforeningen.dk,2015,100031070,100031070,,,,,,,Ballerup,Denmark,2624341,,,,,
,,Key Laboratory of Biology and Genetic Improvement of Horticultural Crops*en,active,facility;funder,"MOA Key Laboratory of Biology and Genetic Improvement of Horticultural Crops, IVF CAAS*en",Key Laboratory of Biology and Genetic Improvement of Horticultural Crops*en;农业农村部园艺作物生物学与遗传改良重点实验室*zh,,https://ivf.caas.cn,,,,501100014962,501100014962,,,,,,,Beijing,China,,https://ror.org/02fnpjd08,,,,
,,Province of West Flanders*en,active,government;funder,,Province of West Flanders*en;Provincie West-Vlaanderen*nl,,https://www.west-vlaanderen.be,,west-vlaanderen.be,,501100014169,501100014169,,,,,,,Bruges,Belgium,2800931,,,,,
,,The Donkey Sanctuary*en,active,nonprofit;funder,Donkey Sanctuary*en;The South Western Donkey Sanctuary*en,The Donkey Sanctuary*en,,https://thedonkeysanctuary.org.uk,https://en.wikipedia.org/wiki/The_Donkey_Sanctuary,thedonkeysanctuary.org.uk,1969,100012488,100012488,,,,,,,Sidmouth,United Kingdom,2637853,,,,,
,,Alzheimer's Research and Prevention Foundation*en,active,nonprofit;funder,Alzheimer's Research & Prevention Foundation*en;Alzheimer's Prevention Foundation*en,Alzheimer's Research and Prevention Foundation*en,ARPF,https://alzheimersprevention.org,,alzheimersprevention.org,1993,100018836,100018836,,,,,,,Tucson,United States,5318313,,,,,
,,Friends of Nature*en,active,nonprofit;funder,自然之友*zh;Foundation of the Awareness of Nature*en,Friends of Nature*en;北京自然之友公益基金会*zh,FON,https://www.fon.org.cn,https://en.wikipedia.org/wiki/Friends_of_Nature_(China),fon.org.cn,2013,501100006074,501100006074,,,,,,,Beijing,China,1816670,,,,,
,,Government of the Republic of Tatarstan*en,active,government;funder,The Government of the Republic of Tatarstan*en;Republic of Tatarstan*en,Government of the Republic of Tatarstan*en;Правительство Республики Татарстан*ru;Татарстан Республикасы Хөкүмәте*tt,,https://prav.tatarstan.ru/eng/,,,1991,100015768,100015768,,,,,,,Kazan,Russia,551487,,,,,
,,Bryon Riesch Paralysis Foundation*en,active,nonprofit;funder,Bryon Riesch Paralysis Foundation Inc*en;The Bryon Riesch Paralysis Foundation*en,Bryon Riesch Paralysis Foundation*en,BRPF,https://brpf.org,,brpf.org,2001,100012641,100012641,,,,,,,Waukesha,United States,,,,,,
,,Jiangsu Key Laboratory for Pharmacology and Safety Evaluation of Chinese Materia Medica*en,active,facility;funder,Key Lab of Efficacy and Safety Appraisal of Chinese Materia Medica of Jiangsu Province*en;Jiangsu Key Laboratory for Pharmacology and Safety Research of Chinese Materia Medica*en,Jiangsu Key Laboratory for Pharmacology and Safety Evaluation of Chinese Materia Medica*en;江苏省中药药效与安全性评价重点实验室*zh,,https://yxy.njucm.edu.cn/2018/1010/c3204a43926/pagem.htm,,,2008,501100011403,501100011403,,,,,,,Nanjing,China,1799962,https://ror.org/04523zj19,,,,
,,Garrison Family Foundation*en,active,nonprofit;funder,The Garrison Family Foundation*en,Garrison Family Foundation*en,,http://garrisonfamilyfoundation.org,,garrisonfamilyfoundation.org,2006,100016183,100016183,,,,,,,Austin,United States,4671654,,,,,
,,Zhejiang Association for Science and Technology*en,active,nonprofit;funder,Zhejiang Association for Science & Technology*en;浙江省科协*zh,Zhejiang Association for Science and Technology*en;浙江省科学技术协会*zh,ZAST,https://www.zast.org.cn,,zast.org.cn,1958,501100017552,501100017552,,,,,,,Hangzhou,China,,https://ror.org/035vmht26,,,,
,,Department of Agriculture and Rural Affairs of Zhejiang Province*en,active,government;funder,Zhejiang Provincial Department of Agriculture and Rural Affairs*en,Department of Agriculture and Rural Affairs of Zhejiang Province*en;浙江省农业农村厅*zh,,https://nynct.zj.gov.cn,,nynct.zj.gov.cn,2018,100017710,100017710,,,,,,,Hangzhou,China,1808926,https://ror.org/011c1jj51,,,,
,,Tianjin Municipal Commission of Agriculture and Rural Affairs*en,active,government;funder,Tianjin Agriculture and Rural Committee*en;Tianjin Agricultural and Rural Work Committee*en;Tianjin Agricultural and Rural Committee*en;Tianjin Municipal Agricultural and Rural Committee*en;Tianjin Municipal Agricultural and Rural Commission*en,Tianjin Municipal Commission of Agriculture and Rural Affairs*en;天津市农业农村委员会*zh,,https://nync.tj.gov.cn,,nync.tj.gov.cn,,501100014876,501100014876,,,,,,,Tianjin,China,1792947,https://ror.org/01xnshd39,,,,
,,Air Liquide Foundation*en,active,nonprofit;funder,,Air Liquide Foundation*en;Fondation Air Liquide*fr,,https://www.fondationairliquide.com,,fondationairliquide.com,2008,100015153,100015153,,,,,,,Paris,France,2988507,https://ror.org/0431b2v07,,,,
,,Stiftung Aktion Österreich-Ungarn*de,active,nonprofit;funder,,Stiftung Aktion Österreich-Ungarn*de;Osztrák-Magyar Akció Alapítvány*hu,AÖU,http://www.omaa.hu,,omaa.hu,1990,501100013694,501100013694,,,,,,,Budapest,Hungary,,,,,,
,,Guangdong Power Grid Company (China),active,company;funder,"Guangdong Power Grid Co., Ltd*en",Guangdong Power Grid Company (China);广东电网有限责任公司*zh,,https://www.gd.csg.cn,,gd.csg.cn,2001,501100012302,501100012302,,,,,,,Guangzhou,China,1809858,https://ror.org/03hkh9419,,,,
,,Hans und Ilse Breuer-Stiftung*de,active,nonprofit;funder,Breuer-Stiftung,Hans und Ilse Breuer-Stiftung*de;Hans and Ilse Breuer Foundation*en,,https://breuerstiftung.de,,breuerstiftung.de,2000,501100017518,501100017518,,,,,,,Frankfurt am Main,Germany,,,,,,
,,Huzhou Municipal Science and Technology Bureau*en,active,government;funder,Huzhou Municipal Science and Technology Agency*en;Huzhou Municipal Bureau of Science and Technology*en,Huzhou Municipal Science and Technology Bureau*en;湖州市科学技术局*zh,,https://kjj.huzhou.gov.cn,,kjj.huzhou.gov.cn,,501100009988,501100009988,,,,,,,Huzhou,China,1806535,,,,,
,,Innovation Saskatchewan*en,active,government;funder,,Innovation Saskatchewan*en,IS,https://innovationsask.ca,,innovationsask.ca,2009,100015147,100015147,,,,,,,Saskatoon,Canada,6141256,https://ror.org/04ch2gv47,,,,
,,Korea Medical Institute*en,active,nonprofit;funder,財団法人韓国医学研究所*ja;韩国医学研究所*zh,Korea Medical Institute*en;재단법인 한국의학연구소*ko,KMI,https://www.kmi.or.kr,,kmi.or.kr,1985,100031738,100031738,,,,,,,Seoul,South Korea,1835848,,,,,
,,Fashion Footwear Association of New York*en,active,nonprofit;funder,The Fashion Footwear Association of New York*en;The Fashion Footwear Charitable Foundation of New York Inc.*en;Fashion Footwear Charitable Foundation*en,Fashion Footwear Association of New York*en,FFANY,https://www.ffany.org,,ffany.org,1980,100011145,100011145,,,,,,,New York,United States,5128581,,,,,
,,Fundación para la Innovación Agraria*es,active,nonprofit;funder,Foundation for Agrarian Innovation*en,Fundación para la Innovación Agraria*es,FIA,https://www.fia.cl,,fia.cl,1996,501100015633,501100015633,,,,,,,Santiago,Chile,3871336,https://ror.org/05nqvv719,,,,
,,University of California Institute of Transportation Studies*en,active,facility;funder,,University of California Institute of Transportation Studies*en,UC ITS,https://ucits.org,,ucits.org,1947,100023781,100023781,,,,,,,,United States,,https://ror.org/00pjdza24,,,,
,,Nevada Department of Transportation*en,active,government;funder,Nevada DOT*en;NV DOT*en;Nevada Dept of Transportation*en;Nevada Dept. of Transportation*en;State of Nevada Department of Transportation*en;Nevada Department of Highways*en,Nevada Department of Transportation*en,NDOT,https://www.dot.nv.gov,https://en.wikipedia.org/wiki/Nevada_Department_of_Transportation,dot.nv.gov,1917,100014779,100014779,,,,,,,Carson City,United States,5501344,https://ror.org/05n3rrk65,,,,
,,Mississippi Department of Transportation*en,active,government;funder,Mississippi Dept of Transportation*en;MS Dept. of Transportation*en;Mississippi DOT*en,Mississippi Department of Transportation*en,MDOT,https://mdot.ms.gov,,mdot.ms.gov,1992,100014778,100014778,,,,,,,Jackson,United States,4431410,,,,,
,,"CAS Key Laboratory of Quantum Information, USTC*en",active,facility;funder,"Key Laboratory of Quantum Information, Chinese Academy of Sciences*en;CAS Key Laboratory of Quantum Information*en;Key Laboratory of Quantum Information*en","CAS Key Laboratory of Quantum Information, USTC*en;中国科学院量子信息重点实验室*zh",LQCC,http://lqcc.ustc.edu.cn,,lqcc.ustc.edu.cn,2001,501100012432,501100012432,,,,,,,Hefei,China,1808722,https://ror.org/034t30j35,,,,
,,DanScatt*en,active,facility;funder,Danish Centre for Synchrotron and Neutron Scattering*en,DanScatt*en,,https://danscatt.dtu.dk,,danscatt.dtu.dk,2002,501100018832,501100018832,,,,,,,,Denmark,,,,,,
,,Janssen Canada (Canada),active,company;funder,Janssen Inc.*en;Janssen Ortho Inc*en;Janssen,Janssen Canada (Canada),,https://www.janssen.com/canada,,,,100014554,100014554,,,,,,,Toronto,Canada,6167865,https://ror.org/03qd7mz70,,,,
,,Evans Medical Foundation*en,active,nonprofit;funder,Evans Medical Foundation Inc*en;Evans Foundation*en;The Evans Foundation*en;Faculty Practice Foundation Inc*en,Evans Medical Foundation*en,,https://www.bumc.bu.edu/medicine/dom-introduction/history/,,,1975,100015927,100015927,,,,,,,Boston,United States,,,,,,
,,"Fundação Coordenação de Projetos, Pesquisas e Estudos Tecnológicos*pt",active,nonprofit;funder,COPPETEC Foundation*en;Fundação COPPETEC*pt,"Fundação Coordenação de Projetos, Pesquisas e Estudos Tecnológicos*pt",COPPETEC,http://www.coppetec.coppe.ufrj.br,,coppetec.coppe.ufrj.br,1993,501100006740,501100006740,,,,,,,Rio de Janeiro,Brazil,3451190,,,https://ror.org/03490as77,,
,,Bo and Kerstin Hjelt Diabetes Foundation*en,active,nonprofit;funder,Bo & Kerstin Hjelt Diabetes Foundation*en;Diabetes Foundation*en,Bo and Kerstin Hjelt Diabetes Foundation*en,,https://www.hjeltfoundations.org,,hjeltfoundations.org,2008,501100023754,501100023754,,,,,,,Geneva,Switzerland,2660646,,,,,
,,ReCor Medical (United States),active,company;funder,"ReCor Medical, Inc.*en",ReCor Medical (United States);ReCor Medical*en,ReCor,https://www.recormedical.com,,recormedical.com,2009,100015371,100015371,,,,,,,Palo Alto,United States,5380748,,,,,
,,NAGAI Foundation for Science and Technology*en,active,nonprofit;funder,NAGAI Foundation for Science & Technology*en;The NAGAI Foundation for Science & Technology*en,NAGAI Foundation for Science and Technology*en;公益財団法人 永井科学技術財団*ja,,https://www.sinto.co.jp/nagaizaidan/,,,1983,100018922,100018922,,,,,,,Nagoya,Japan,1856057,,,,,
,,Cleveland Eye Bank Foundation*en,active,nonprofit;funder,The Cleveland Eye Bank Foundation*en,Cleveland Eye Bank Foundation*en,CEBF,https://cleyebankfoundation.org,,cleyebankfoundation.org,1958,100018313,100018313,,,,,,,Cleveland,United States,,,,,,
,,Administration of Traditional Chinese Medicine of Jilin Province*en,active,government;funder,,Administration of Traditional Chinese Medicine of Jilin Province*en;吉林省中医药管理局*zh,,https://jltcm.jl.gov.cn,,jltcm.jl.gov.cn,2004,100018938,100018938,,,,,,,Changchun,China,2038176,https://ror.org/01a67y017,,,,
,,Calgary Health Foundation*en,active,nonprofit;funder,Calgary Health Trust*en,Calgary Health Foundation*en,CHF,https://www.calgaryhealthfoundation.ca,,calgaryhealthfoundation.ca,1996,100031299,100031299,,,,,,,Calgary,Canada,,,,,,
,,The Albertsons Companies Foundation*en,active,nonprofit;funder,"Safeway Foundation;The Safeway Foundation*en;Safeway Foundation, Inc.;Safeway Foundation Inc",The Albertsons Companies Foundation*en,,http://safewayfoundation.org,,safewayfoundation.org,2001,100021686;100017911,100021686,,,,,,,Pleasanton,United States,5383777,,,,,
