html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,ror_id,parent,child,related,successor,predecessor,nid,comments,,,,,,,
,,Kolej Komuniti Kulim*ms,active,education,Kulim Community College*en,Kolej Komuniti Kulim*ms,,https://kkkulim.mypolycc.edu.my,,kkkulim.mypolycc.edu.my,,,,,,,,,,Kulim,Malaysia,1734393,,,,,,,R000878,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=377; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=377; state=Kedah | VERIFIED: type=education; established=unknown; keep_alias=True; affiliation_usage=none_found; website=correct; ids=; confidence=high; established_source=not_found; scope=in_scope; adversarial_overturned=labels,,,,,,,
,,Kolej Komuniti Langkawi*ms,active,education,,Kolej Komuniti Langkawi*ms;Langkawi Tourism Academy*en,,https://www.kklk.edu.my,,kklk.edu.my,,,,,,,,,,Pantai Cenang,Malaysia,11002069,,,,,,,R000880,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=376; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=376; state=Kedah | VERIFIED: type=education; established=unknown; keep_alias=False; affiliation_usage=publications_doi; website=unreachable; ids=; confidence=high; established_source=not_found; scope=in_scope; adversarial_overturned=city,,,,,,,
,,Kolej Komuniti Lipis*ms,active,education,Lipis Community College*en,Kolej Komuniti Lipis*ms,,https://kklipis.mypolycc.edu.my,,kklipis.mypolycc.edu.my,,,,,,,,,,Kuala Lipis,Malaysia,1733023,,,,,,,R000881,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=649; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=649; state=Pahang | VERIFIED: type=education; established=unknown; keep_alias=True; affiliation_usage=none_found; website=correct; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,Kolej Komuniti Manjung*ms,active,education,Manjung Community College*en,Kolej Komuniti Manjung*ms,,https://kkmanjung.mypolycc.edu.my,,,,,,,,,,,,Seri Manjung,Malaysia,7792200,,https://ror.org/05mcs2t73,,,,,R000882,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=754; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=754; state=Perak | VERIFIED: type=education; established=unknown; keep_alias=True; affiliation_usage=none_found; website=not_checked; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,"Kolej Profesional MARA Ayer Molek, Melaka*ms",active,education,Kolej Profesional MARA (Melaka)*ms,"Kolej Profesional MARA Ayer Molek, Melaka*ms;MARA Professional College Ayer Molek, Melaka*en",KPM*ms,https://ayermolek.kpm.edu.my,,ayermolek.kpm.edu.my,1993,,,,,,,,,Ayer Molek,Malaysia,1734755,,,,https://ror.org/04snr8v46,,,R000883,"source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=111; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=111; state=Malacca; former_name=Kolej Profesional MARA (Melaka) | VERIFIED: type=education; established=1993; keep_alias=True; affiliation_usage=publications_doi; website=correct; ids=; confidence=high; established_source=org_website; adversarial_change=Found the real official website (ayermolek.kpm.edu.my, listed on the MQR page) which pass 1 missed, resolving the not_checked/null fields: website, domains, website_status set. Established year 1993 sourced from the college's own history page (founding of predecessor Institut Perdagangan MARA). Acronym KPM set from verified self-usage on the homepage. All other pass-1 values (scope, name, labels, alias, dup verdict, city, geonames, related edge to Majlis Amanah Rakyat) verified and carried.; scope=in_scope; adversarial_overturned=website,domains,website_status,established,established_basis,established_source,acronym",,,,,,,
,,MARA-Japan Industrial Institute*en,active,education,Kolej Kemahiran Tinggi MARA Beranang*ms,MARA-Japan Industrial Institute*en,MJII*en,https://www.mara.gov.my/bm/pendidikan/institusi-pendidikan-tvet/mara-japan-industrial-institute-mjii/,,,,,,,,,,,,Beranang,Malaysia,1765829,,https://ror.org/04snr8v46,,,,,R000884,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=554; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPListAA.cfm?IDAkrIPTS=554; state=Selangor; former_name=Kolej Kemahiran Tinggi MARA Beranang | VERIFIED: type=education; established=unknown; keep_alias=True; affiliation_usage=publications_doi; website=dead; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,Kolej Komuniti Mas Gading*ms,active,education,,Kolej Komuniti Mas Gading*ms;Mas Gading Community College*en,KKMG*ms,https://kkmasgading.mypolycc.edu.my,,kkmasgading.mypolycc.edu.my,2002,,,,,,,,,Bau,Malaysia,1734539,,https://ror.org/05mcs2t73,,,,,R000885,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=421; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=421; state=Sarawak | VERIFIED: type=education; established=2002; keep_alias=True; affiliation_usage=none_found; website=correct; ids=; confidence=high; established_source=org_website; scope=in_scope,,,,,,,
,,Kolej Komuniti Muar*ms,active,education,Muar Community College*en,Kolej Komuniti Muar*ms,,http://kkmuar.edu.my,,kkmuar.edu.my,,,,,,,,,,Muar,Malaysia,1732869,,,,,,,R000886,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=405; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=405; state=Johor | VERIFIED: type=education; established=unknown; keep_alias=True; affiliation_usage=none_found; website=dead; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,Institut Kraf Negara*ms,active,education,National Craft Institute*en,Institut Kraf Negara*ms,IKN*ms,https://ikn.edu.my,,ikn.edu.my,2001,,,,,,,,,Rawang,Malaysia,1735150,,,,,,,R000888,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=741; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=741; state=Selangor | VERIFIED: type=government; established=2001; keep_alias=True; affiliation_usage=none_found; website=unreachable; ids=; confidence=high; established_source=org_website; scope=in_scope; adversarial_overturned=labels,,,,,,,
,,Institut Tadbiran Awam Negara*ms,active,government,National Institute of Public Administration (INTAN)*en,Institut Tadbiran Awam Negara*ms;National Institute of Public Administration*en,INTAN*ms,https://www.intanbk.intan.my/iportal/ms/,,,1972,,,,,0000 0004 0646 8309,0000 0004 0646 8309,Q6973696,Q6973696,Kuala Lumpur,Malaysia,1735161,,https://ror.org/04kpqhb39,,,,,R000889,"source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=742; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=742; state=Wilayah Persekutuan Kuala Lumpur | VERIFIED: type=government; established=1972; keep_alias=True; affiliation_usage=crossref_exact; website=correct; ids=wikidata_id,isni; confidence=high; established_source=wikidata_inception; adversarial_change=Leg 1 confirmed every pass-1 value against primary sources (official portal HTTP 200 with org name in title/footer, Wikidata EntityData Q6973696, enwiki and mswiki, GeoNames 1735161, ROR API searches, Crossref affiliations). One addition: emitted a parent relationship to ror.org/04kpqhb39 (Jabatan Perkhidmatan Awam Malaysia) — the INTAN portal's own 'INTAN Sepintas Lalu' page states INTAN is 'terletak di bawah Jabatan Perkhidmatan Awam, Malaysia', corroborated by the Crossref affiliation string 'Institut Tadbir Awam Negara (INTAN) Jabatan Perkhidmatan Awam Malaysia'; pass 1 had emitted no relationships because the two wikis conflicted (PSC infobox vs PMD category) and no source it consulted stated JPA parentage. All other fields adopted unchanged.; scope=in_scope; adversarial_overturned=relationships",,,,,,,
,,Kolej Komuniti Nibong Tebal*ms,active,education,,Kolej Komuniti Nibong Tebal*ms;Nibong Tebal Community College*en,KKNT*ms,http://kknt.edu.my,,kknt.edu.my,,,,,,,,,,Simpang Ampat,Malaysia,1735082,,,,,,,R000890,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=381; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=381; state=Penang | VERIFIED: type=education; established=unknown; keep_alias=True; affiliation_usage=none_found; website=dead; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,Kolej Komuniti Pagoh*ms,active,education,Pagoh Community College*en,Kolej Komuniti Pagoh*ms,,https://kkpagoh.mypolycc.edu.my,,,,,,,,,,,,Pagoh,Malaysia,1732859,,,,,,,R000891,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=406; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=406; state=Johor | VERIFIED: type=education; established=unknown; keep_alias=True; affiliation_usage=none_found; website=not_checked; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,Kolej Komuniti Pasir Gudang*ms,active,education,,Kolej Komuniti Pasir Gudang*ms;Pasir Gudang Community College*en,,https://kkpasirgudang.mypolycc.edu.my,,kkpasirgudang.mypolycc.edu.my,2006,,,,,,,Q96233684,Q96233684,Pasir Gudang,Malaysia,1732722,,,,,,,R000892,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=409; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=409; state=Johor | VERIFIED: type=education; established=2006; keep_alias=False; affiliation_usage=none_found; website=unreachable; ids=wikidata_id; confidence=high; established_source=wikidata_inception; scope=in_scope,,,,,,,
,,Kolej Komuniti Penampang*ms,active,education,,Kolej Komuniti Penampang*ms;Penampang Community College*en,,https://kkpenampang.edu.my,,kkpenampang.edu.my,,,,,,,,,,Penampang,Malaysia,1751189,,,,,,,R000894,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=783; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=783; state=Sabah | VERIFIED: type=education; established=unknown; keep_alias=True; affiliation_usage=none_found; website=unreachable; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,Institut Kemahiran Tinggi PERDA*ms,active,education,,Institut Kemahiran Tinggi PERDA*ms;PERDA Advanced Technical Institute*en,PERDA-TECH*en,https://www.perda-tech.edu.my,,perda-tech.edu.my,1989,,,,,,,,,Nibong Tebal,Malaysia,1735086,,,,,,,R000895,"source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=451; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPListAA.cfm?IDAkrIPTS=451; state=Penang | VERIFIED: type=education; established=unknown; keep_alias=True; affiliation_usage=none_found; website=correct; ids=; confidence=high; established_source=not_found; adversarial_change=All pass-1 values re-verified against primary sources (MQR entry, institute site, PERDA portal, ROR API, GeoNames, Crossref, Wikidata) and confirmed. Sole change: website URL scheme http to https, because the http variant failed to connect while https served the institute's own verified page.; scope=in_scope; adversarial_overturned=website",,,,,,,
,,ADTEC JTM Kampus Bintulu*ms,active,education,Pusat Latihan Teknologi Tinggi Bintulu*ms;Pusat Latihan Teknologi Tinggi (ADTEC) Bintulu*ms,ADTEC JTM Kampus Bintulu*ms,ADTEC*ms,http://www.adtecbintulu.my,,adtecbintulu.my,2014,,,,,,,,,Bintulu,Malaysia,1737486,,,,,,,R000896,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=819; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=819; state=Sarawak | VERIFIED: type=education; established=unknown; keep_alias=False; affiliation_usage=none_found; website=correct; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,Pusat Latihan Teknologi Tinggi Jerantut*ms,active,education,ADTEC Jerantut*ms;ADTEC JTM Kampus Jerantut*ms,Pusat Latihan Teknologi Tinggi Jerantut*ms,ADTEC*en,https://www.adtecjerantut.gov.my,,adtecjerantut.gov.my,2011,,,,,,,,,Jerantut,Malaysia,1732602,,,,,,,R000897,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=929; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=929; state=Pahang | VERIFIED: type=education; established=unknown; keep_alias=False; affiliation_usage=crossref_exact; website=correct; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,Institut Teknologi Automotif Termaju PROTON*ms,active,education,PROTON Institute*en;ADTEC Melaka*en;Pusat Latihan Teknologi Tinggi (ADTEC) Melaka*ms,Institut Teknologi Automotif Termaju PROTON*ms;PROTON Advanced Automotive Technology Institute*en,,https://www.adtecmlk.gov.my,,adtecmlk.gov.my,2002,,,,,,,,,Alor Gajah,Malaysia,1734745,,,,,,,R000898,"source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=540; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPListAA.cfm?IDAkrIPTS=540; state=Malacca | VERIFIED: type=education; established=2002; keep_alias=True; affiliation_usage=crossref_exact; website=correct; ids=; confidence=high; established_source=org_website; adversarial_change=Renamed the record to the institution's current official name (Institut Teknologi Automotif Termaju PROTON / PROTON Institute) after finding the org's own site documenting the 2024-2026 rebrand of ADTEC Melaka; corrected established year from 2003 (StudyMalaysia) to 2002 (org's own latar-belakang page, official opening 11 Jan 2002) and established_source from other_source to org_website; dropped acronym ADTEC (no longer the org's initialism) and converted the former names into curated aliases (keep_alias true). Scope (in_scope), dup_verdict (no_candidates), website (correct, adtecmlk.gov.my), ror_type (education), country, city and geonames_id all confirmed.; scope=in_scope; adversarial_overturned=official_name,labels,acronym,keep_alias,alias_values,established,established_source",,,,,,,
,,Kolej Komuniti Raub*ms,active,education,,Kolej Komuniti Raub*ms;Raub Community College*en,,http://kkraub.edu.my,,kkraub.edu.my,,,,,,,,,,Raub,Malaysia,1732663,,,,,,,R000899,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=413; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=413; state=Pahang | VERIFIED: type=education; established=unknown; keep_alias=True; affiliation_usage=none_found; website=unreachable; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,Kolej Komuniti Seberang Jaya*ms,active,education,Seberang Jaya Community College*en,Kolej Komuniti Seberang Jaya*ms,KKSJ*ms,https://kkseberangjaya.mypolycc.edu.my,,kkseberangjaya.mypolycc.edu.my,,,,,,,,,,Seberang Jaya,Malaysia,6823221,,,,,,,R000901,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=714; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=714; state=Penang | VERIFIED: type=education; established=unknown; keep_alias=True; affiliation_usage=none_found; website=correct; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,Kolej Komuniti Selandar*ms,active,education,,Kolej Komuniti Selandar*ms;Selandar Community College*en,,https://kkselandar.edu.my,,kkselandar.edu.my,,,,,,,,,,Selandar,Malaysia,1734742,,,,,,,R000902,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=401; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=401; state=Malacca | VERIFIED: type=education; established=unknown; keep_alias=True; affiliation_usage=publications_doi; website=unreachable; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,Kolej Komuniti Selayang*ms,active,education,,Kolej Komuniti Selayang*ms;Selayang Community College*en,KKSY*ms,https://kkselayang.mypolycc.edu.my,,kkselayang.mypolycc.edu.my,2003,,,,,,,,,Batu Caves,Malaysia,1735166,,https://ror.org/05mcs2t73,,,,,R000903,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=395; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=395; state=Selangor | VERIFIED: type=education; established=2003; keep_alias=True; affiliation_usage=crossref_exact; website=correct; ids=; confidence=high; established_source=org_website; scope=in_scope,,,,,,,
,,Kolej Komuniti Semporna*ms,active,education,,Kolej Komuniti Semporna*ms;Semporna Community College*en,,http://www.kkcss.edu.my,,kkcss.edu.my,,,,,,,,,,Semporna,Malaysia,1733697,,,,,,,R000904,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=425; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=425; state=Sabah | VERIFIED: type=education; established=unknown; keep_alias=False; affiliation_usage=none_found; website=unreachable; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,Kolej Vokasional Seri Manjung*ms,active,education,,Kolej Vokasional Seri Manjung*ms;Seri Manjung Vocational College*en,,https://kvserimanjung.moe.edu.my,,kvserimanjung.moe.edu.my,,,,,,,,,,Seri Manjung,Malaysia,7792200,,,,,,,R000905,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=751; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=751; state=Perak | VERIFIED: type=education; established=unknown; keep_alias=True; affiliation_usage=none_found; website=unreachable; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,Kolej Komuniti Shah Alam*ms,active,education,,Kolej Komuniti Shah Alam*ms;Shah Alam Community College*en,,http://kksa.edu.my,,kksa.edu.my,,,,,,,,,,Shah Alam,Malaysia,1732903,,,,,,,R000906,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=392; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=392; state=Selangor | VERIFIED: type=education; established=unknown; keep_alias=False; affiliation_usage=none_found; website=dead; ids=; confidence=high; established_source=not_found; scope=in_scope; adversarial_overturned=keep_alias,,,,,,,
,,Kolej Komuniti Sungai Petani*ms,active,education,,Kolej Komuniti Sungai Petani*ms;Sungai Petani Community College*en,KKSP*ms,https://kksungaipetani.mypolycc.edu.my,,kksungaipetani.mypolycc.edu.my,2002,,,,,,,,,Sungai Petani,Malaysia,1735498,,,,,,,R000907,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=373; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=373; state=Kedah | VERIFIED: type=education; established=2002; keep_alias=True; affiliation_usage=crossref_exact; website=correct; ids=; confidence=high; established_source=org_website; scope=in_scope; adversarial_overturned=affiliation_usage,,,,,,,
,,Kolej Komuniti Sungai Siput*ms,active,education,,Kolej Komuniti Sungai Siput*ms;Sungai Siput Community College*en,,https://www.kkss.edu.my,,kkss.edu.my,,,,,,,,,,Sungai Siput,Malaysia,1735265,,,,,,,R000908,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=386; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=386; state=Perak | VERIFIED: type=education; established=unknown; keep_alias=True; affiliation_usage=none_found; website=dead; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,Kolej Komuniti Taiping*ms,active,education,Taiping College Community*en,Kolej Komuniti Taiping*ms,,https://kktaiping.mypolycc.edu.my,,kktaiping.mypolycc.edu.my,2012,,,,,,,,,Kamunting,Malaysia,1734577,,,,,,,R000909,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=712; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=712; state=Perak | VERIFIED: type=education; established=2012; keep_alias=True; affiliation_usage=none_found; website=correct; ids=; confidence=high; established_source=org_website; scope=in_scope; adversarial_overturned=affiliation_usage,,,,,,,
,,Kolej Komuniti Tambunan*ms,active,education,,Kolej Komuniti Tambunan*ms;Tambunan Community College*en,,https://kktambunan.mypolycc.edu.my,,kktambunan.mypolycc.edu.my,,,,,,,,,,Tambunan,Malaysia,1733468,,,,,,,R000910,"source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=775; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=775; state=Sabah | VERIFIED: type=education; established=unknown; keep_alias=True; affiliation_usage=crossref_exact; website=correct; ids=; confidence=high; established_source=not_found; adversarial_change=Found and set the official website (kktambunan.mypolycc.edu.my, from the JPPKK portal directory; pass 1 had probed the wrong domains and concluded no site existed) with website_status correct and domains kktambunan.mypolycc.edu.my; upgraded affiliation_usage from none_found to crossref_exact (Crossref re-run found exact affiliation 'Kolej Komuniti Tambunan, Sabah Malaysia' on DOI 10.35631/jthem.935014). Scope (in_scope), duplicate verdict (no_candidates), names, labels, city/geonames and ror_type adopted as verified.; scope=in_scope; adversarial_overturned=website,domains,website_status,affiliation_usage",,,,,,,
,,Kolej Komuniti Tampin*ms,active,education,,Kolej Komuniti Tampin*ms;Tampin Community College*en,KKTNS*ms,https://kktampin.mypolycc.edu.my,,kktns.edu.my,,,,,,,,,,Gemencheh,Malaysia,1734860,,,,,,,R000911,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=636; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=636; state=Negeri Sembilan | VERIFIED: type=education; established=unknown; keep_alias=True; affiliation_usage=none_found; website=not_checked; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,Kolej Komuniti Tangga Batu*ms,active,education,Tangga Batu Community College*en,Kolej Komuniti Tangga Batu*ms,,http://kktanggabatu.edu.my,,kktanggabatu.edu.my,,,,,,,,,,Klebang Besar,Malaysia,1761242,,,,,,,R000912,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=647; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=647; state=Malacca | VERIFIED: type=education; established=unknown; keep_alias=True; affiliation_usage=none_found; website=unreachable; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,Kolej Komuniti Tanjung Piai*ms,active,education,Tanjung Piai Community College*en,Kolej Komuniti Tanjung Piai*ms,,https://kktanjungpiai.mypolycc.edu.my,,kktanjungpiai.mypolycc.edu.my,2008,,,,,,,Q96233707,Q96233707,Pontian,Malaysia,1732710,,,,,,,R000913,"source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=410; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=410; state=Johor | VERIFIED: type=education; established=2008; keep_alias=True; affiliation_usage=none_found; website=correct; ids=wikidata_id; confidence=high; established_source=org_website; adversarial_change=Added established=2008 (basis founding, source org_website) from the college's own Pengenalan page (operations began 1 Jan 2008) corroborated by Wikidata P571 — pass 1 had reported not_found. Added wikidata_id Q96233707 (entity describes exactly this college, same website, matching ms/en labels). All other values (scope, website, domains, alias, city, geonames, dup_verdict, ror_type) independently re-verified and adopted.; scope=in_scope; adversarial_overturned=established,established_basis,established_source,wikidata_id",,,,,,,
,,Kolej Komuniti Tasek Gelugor*ms,active,education,Tasek Gelugor Community College*en,Kolej Komuniti Tasek Gelugor*ms,KKTG*ms,http://kktg.edu.my,,kktg.edu.my,,,,,,,,,,Tasek Gelugor,Malaysia,1735093,,,,,,,R000914,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=723; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=723; state=Penang | VERIFIED: type=education; established=unknown; keep_alias=True; affiliation_usage=crossref_exact; website=correct; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,Kolej Komuniti Teluk Intan*ms,active,education,,Kolej Komuniti Teluk Intan*ms;Teluk Intan Community College*en,,http://kktin.edu.my,,kktin.edu.my,,,,,,,,,,Teluk Intan,Malaysia,1735459,,,,,,,R000915,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=384; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=384; state=Perak | VERIFIED: type=education; established=unknown; keep_alias=False; affiliation_usage=none_found; website=unreachable; ids=; confidence=high; established_source=not_found; scope=in_scope,,,,,,,
,,Kolej Komuniti Temerloh*ms,active,education,Temerloh Community College*en;Kolej Komuniti Mentakab*ms,Kolej Komuniti Temerloh*ms,KKTM*ms,https://kktemerloh.mypolycc.edu.my,,kktemerloh.mypolycc.edu.my,2003,,,,,,,,,Mentakab,Malaysia,1735018,,,,,,,R000916,source=mqa_mqr; source_url=https://www2.mqa.gov.my/mqr/english/eakrbykomuniti.cfm; mqr_category=eakrbykomuniti; mqa_id=414; mqr_detail_url=https://www2.mqa.gov.my/mqr/english/eiptaKPList.cfm?IDAkrIPTS=414; state=Pahang | VERIFIED: type=education; established=2003; keep_alias=True; affiliation_usage=crossref_exact; website=correct; ids=; confidence=high; established_source=org_website; scope=in_scope,,,,,,,
